老	? lão
大恶魔	? đại ác ma
大贤者	? đại hiền giả
大亲王	? đại thân vương
大统领	? đại thống lĩnh
大元帅	? đại nguyên soái
大将军	? đại tướng quân
大杀手	? đại sát thủ
大管家	? đại quản gia
大军师	? đại quân sư
大小姐	? đại tiểu thư
大富豪	? đại phú hào
大武师	? đại võ sư
大头目	? đại đầu mục
大庄主	? đại trang chủ
大公子	? đại công tử
大团长	? đại đoàn trưởng
大主教	? đại giám mục
大少爷	? đại thiếu gia
大美吕	? đại mỹ lữ
大校花	? đại hiệu hoa
大师兄	? đại sư huynh
大高手	? đại cao thủ
大牧首	? đại mục thủ
大宗师	? đại tông sư
大城主	? đại thành chủ
大金主	? đại kim chủ
大公爵	? đại công tước
大祭祀	? đại tế tự
大天尊	? đại thiên tôn
大姐姐	? đại tỷ tỷ
大老板	? đại lão bản
大巫师	? đại vu sư
大圣座	? đại thánh toạ
大汉奸	? đại hán gian
大变态	? đại biến thái
大作家	? đại tác gia
大魔头	? đại ma đầu
大帅哥	? đại soái ca
大导师	? đại đạo sư
大圣人	? đại thánh nhân
大商人	? đại thương nhân
大红人	? đại hồng nhân
大预言家	? đại tiên tri
大魔导师	? đại ma đạo sư
大交际草	? đại giao tế thảo
大董事长	? đại chủ tịch

长官	? trưởng quan
长老	? trưởng lão
长嫂	? trưởng tẩu
长妹	? trưởng muội
长史	? trưởng sứ

副	? phó
副局	? phó cục
副帅	? phó soái
副捕	? phó bổ
副使	? phó sứ
副台长	? phó đài trưởng
副署长	? phó sở trưởng
副总督	? phó tổng đốc
副楼主	? phó lâu chủ
副主任	? phó chủ nhiệm
副主席	? phó chủ tịch
副堂主	? phó đường chủ
副市长	? phó thị trưởng
副帮主	? phó bang chủ
副总管	? phó tổng quản
副掌教	? phó chưởng giáo
副掌门	? phó chưởng môn
副教主	? phó giáo chủ
副校长	? phó hiệu trưởng
副殿主	? phó điện chủ
副洞主	? phó động chủ
副盟主	? phó minh chủ
副组长	? phó tổ trưởng
副舵主	? phó đà chủ
副部长	? phó bộ trưởng
副门主	? phó môn chủ
副宗主	? phó tông chủ

女	? nữ
女王	? nữ vương
女帝	? nữ đế
女士	? nữ sĩ
女爵	? nữ tước
女神	? nữ thần
女侠	? nữ hiệp
女警	? nữ cảnh sát
女郎	? nữ lang
女学霸	? nữ học bá
女主播	? nữ chủ bá
女军官	? nữ sĩ quan
女侍卫	? nữ thị vệ
女大公	? nữ đại công
女色狼	? nữ sắc lang
女神仙	? nữ thần tiên
女施主	? nữ thí chủ
女仆长	? nữ bậc trưởng
女魔头	? nữ ma đầu

男爵	? nam tước
男巫	? nam vu
男配角	? nam phụ

少	? thiếu
少爷	? thiếu gia
少将	? thiếu tướng
少侠	? thiếu hiệp
少主	? thiếu chủ
少尉	? thiếu uý
少镖主	? thiếu tiêu chủ
少谷主	? thiếu cốc chủ
少城主	? thiếu thành chủ
少教主	? thiếu giáo chủ
少阁主	? thiếu các chủ
少夫人	? thiếu phu nhân
少帮主	? thiếu bang chủ
少主人	? thiếu chủ nhân
少庄主	? thiếu trang chủ
少宗主	? thiếu tông chủ

小兄	? tiểu huynh
小弟	? tiểu đệ
小鬼	? tiểu quỷ
小妹	? tiểu muội
小子	? tiểu tử
小姐	? tiểu thư
班长	? tiểu đội trưởng
小徒	? tiểu đồ
小主	? tiểu chủ
小哥	? tiểu ca
小侯	? tiểu hầu
小兄弟	? tiểu huynh đệ
小小姐	? tiểu tiểu thư
小王子	? tiểu vương tử
小医仙	? tiểu y tiên
小王爷	? tiểu vương gia
小毛孩	? tiểu mao hài
小师姐	? tiểu sư tỷ
小同志	? tiểu đồng chí
小妖孽	? tiểu yêu nghiệt
小太妹	? tiểu thái muội
小师妹	? tiểu sư muội
小队长	? tiểu đội trưởng
小姐姐	? tiểu tỷ tỷ
小可爱	? tiểu khả ái
小助理	? tiểu trợ lý
小伙汁	? tiểu đồng bọn
小明星	? tiểu minh tinh
小仙师	? tiểu tiên sư
小姐妹	? tiểu tỷ muội
小喽啰	? tiểu lâu la
小魔头	? tiểu ma đầu
小童儿	? tiểu đồng nhi
小戏骨	? tiểu hí cốt
小师侄	? tiểu sư điệt
小天后	? tiểu thiên hậu
小天王	? tiểu thiên vương
小编剧	? tiểu biên kịch
小魔仙	? tiểu ma tiên
小帅哥	? tiểu soái ca
小学弟	? tiểu học đệ
小白脸	? tiểu bạch kiểm
小编辑	? tiểu biên tập
小主播	? tiểu chủ bá
小姑凉	? tiểu cô lương
小朋友	? tiểu bằng hữu
小夫人	? tiểu phu nhân
小仙子	? tiểu tiên tử
小仙女	? tiểu tiên nữ
小弟子	? tiểu đệ tử

二	? nhị
二少	? nhị thiếu
二哥	? nhị ca
二伯	? nhị bá
二爷	? nhị gia
二娘	? nhị nương
二姐	? nhị tỷ
二少爷	? nhị thiếu gia
二小姐	? nhị tiểu thư
二外公	? nhị ngoại công
二表哥	? nhị biểu ca
二公子	? nhị công tử
二奶奶	? nhị nãi nãi
二徒弟	? nhị đồ đệ

三哥	? tam ca
三爷	? tam gia
三娘	? tam nương
三姐	? tam tỷ
三少	? tam thiếu
三师兄	? tam sư huynh
三徒弟	? tam đồ đệ

四哥	? tứ ca
四爷	? tứ gia
四少	? tứ thiếu
四姐	? tứ tỷ
四师兄	? tứ sư huynh
四表哥	? tứ biểu ca

五少	? ngũ thiếu
五侠	? ngũ hiệp
五爷	? ngũ gia

师	? sư
师母	? sư mẫu
师弟	? sư đệ
师姐	? sư tỷ
师妹	? sư muội
师父	? sư phụ
师爷	? sư gia
师傅	? sư phó
师侄	? sư điệt
师哥	? sư ca
师姊	? sư tỷ
师祖	? sư tổ
师尊	? sư tôn
师叔	? sư thúc
师兄	? sư huynh
师叔祖	? sư thúc tổ

歌神	? ca thần
哥哥	? ca ca

高僧	? cao tăng

令兄	? lệnh huynh
令公子	? lệnh công tử

太医	? thái y
太太	? thái thái
太傅	? thái phó
太子	? thái tử
太监	? thái giám
太保	? thái bảo
太后	? thái hậu
太师	? thái sư
太妃	? thái phi
太尉	? thái uý
太子妃	? thái tử phi
太师叔	? thái sư thúc
太奶奶	? thái nãi nãi
太医院判	? thái y viện phán

贤侄	? hiền chất
贤者	? hiền giả
贤侄	? hiền điệt
贤弟	? hiền đệ

世伯	? thế bá
世兄	? thế huynh
世家	? thế gia
世子	? thế tử

帮主	? bang chủ
教主	? giáo chủ
洞主	? động chủ
堡主	? bảo chủ
寨主	? trại chủ
公主	? công chúa
馆主	? quán chủ
宗主	? tông chủ
庄主	? trang chủ
门主	? môn chủ
施主	? thí chủ
督主	? đốc chủ
堂主	? đường chủ
殿主	? điện chủ
家主	? gia chủ
岛主	? đảo chủ
饲主	? chủ nuôi
座主	? toạ chủ
峰主	? phong chủ
司主	? ty chủ
楼主	? lâu chủ
院主	? viện chủ
域主	? vực chủ
谷主	? cốc chủ
阙主	? khuyết chủ
圣主	? thánh chủ
郡主	? quận chúa
城主	? thành chủ
神主	? thần chủ
UP主	? UP chủ
观主	? quán chủ
群主	? quần chủ
盟主	? minh chủ
幼主	? ấu chúa
房主	? chủ phòng

学园	? học viện
学士	? học sĩ
学姐	? học tỷ
学弟	? học đệ
学霸	? học bá
学神	? học thần

王子	? vương tử
王爷	? vương gia
王妃	? vương phi
王后	? vương hậu
王储	? vương trữ
王世子	? vương thế tử
王太子	? vương thái tử

皇帝	? hoàng đế
皇女	? hoàng nữ
皇后	? hoàng hậu
皇子	? hoàng tử
皇嫂	? hoàng tẩu
皇太孙	? hoàng thái tôn
皇太弟	? hoàng thái đệ
皇长子	? hoàng trưởng tử
皇贵妃	? hoàng quý phi

夫人	? phu nhân
真人	? chân nhân
制片人	? nhà sản xuất
贱人	? tiện nhân
传人	? truyền nhân
美人	? mỹ nhân
母上大人	? mẫu thượng đại nhân
大好人	? người siêu tốt
郡公夫人	? quận công phu nhân
星人	? tinh nhân
总制片人	? tổng sản xuất
兄长大人	? huynh trưởng đại nhân
伯爵夫人	? bá tước phu nhân
道人	? đạo nhân
举人	? cử nhân

妹	? muội
妹妹	? muội muội
妹儿	? muội nhi
妹子	? muội tử

兄	? huynh
兄台	? huynh đài
兄弟	? huynh đệ
兄die	? huynh die

神僧	? thần tăng
神豪	? thần hào
神医	? thần y
神官	? thần quan

道友	? đạo hữu
导演	? đạo diễn
道兄	? đạo huynh

先生	? tiên sinh
仙尊	? tiên tôn
仙友	? tiên hữu
仙女	? tiên nữ
仙子	? tiên tử
仙姑	? tiên cô

族叔	? tộc thúc
族老	? tộc lão

婆	? bà
导	? đạo
儿	? nhi
爷	? gia
董	? đổng
侄	? điệt
娘	? nương
嫂	? tẩu
弟	? đệ
母	? mẫu
舅	? cữu
侯	? hầu
局	? cục
帅	? soái
贼	? tặc
主	? chủ
某	? mỗ
总	? tổng
哥	? ca
姐	? tỷ
叔	? thúc
姨	? di
伯	? bá
姊	? tỷ
君	? quân
郎	? lang
妃	? phi
奴	? nô
父	? phụ
婶	? thẩm
卿	? khanh
妈	? ma
某	? mỗ
子	? tử
相	? tướng
队	? đội

所长	? đồn trưởng
班长	? lớp trưởng
省长	? tỉnh trưởng
科长	? khoa trưởng
处长	? trưởng phòng
厂长	? quản đốc
厅长	? sở trưởng
县长	? huyện trưởng
司长	? cục trưởng
乡长	? trưởng làng
学长	? học trưởng
队长	? đội trưởng
道长	? đạo trưởng
学长	? học trưởng
部长	? bộ trưởng
会长	? hội trưởng
社长	? xã trưởng
山长	? sơn trưởng
组长	? tổ trưởng
处长	? xử trưởng
州长	? thống đốc
院长	? viện trưởng
司长	? cục trưởng
镇长	? trấn trưởng
线长	? tuyến trưởng
族长	? tộc trưởng
校长	? hiệu trưởng
团长	? đoàn trưởng
总长	? tổng trưởng
市长	? thị trưởng
局长	? cục trưởng
艇长	? thuyền trưởng
什长	? thập trưởng
事务长	? sự vụ trưởng
监狱长	? giám ngục trưởng
分会长	? phân hội trưởng
骑士长	? kỵ sĩ trưởng
士官长	? sĩ quan trưởng
十夫长	? thập phu trưởng
老班长	? lớp trưởng cũ
副队长	? đội phó
副团长	? đoàn phó
骑士团长	? kỵ sĩ đoàn trưởng
修道院长	? tu viện trưởng
外交部长	? bộ trưởng ngoại giao

管家	? quản gia
卿家	? khanh gia
作家	? tác gia
企业家	? xí nghiệp gia
科学家	? nhà khoa học
旅行家	? nhà lữ hành
生化学家	? nhà sinh hóa học

巫王	? vu vương
魔王	? ma vương
妖王	? yêu vương
国王	? quốc vương
天王	? thiên vương
逼王	? bức vương
龙王	? long vương
亲王	? thân vương
摄政王	? nhiếp chính vương
精灵王	? tinh linh vương

捕头	? bộ đầu
捕快	? bộ khoái
巡捕	? tuần bộ

国舅爷	? quốc cữu gia
国士	? quốc sĩ
国公	? quốc công
国王陛下	? quốc vương bệ hạ
国相	? quốc tướng

仙师	? tiên sư
导师	? đạo sư
律师	? luật sư
贵师	? quý sư
祖师	? tổ sư
军师	? quân sư
国师	? quốc sư
名师	? danh sư
良师	? lương sư
蛊师	? cổ sư
法师	? pháp sư
天师	? thiên sư
调香师	? thợ nước hoa
雕塑师	? thợ điêu khắc
原型师	? nguyên hình sư
魔法师	? ma pháp sư
魔术师	? ma thuật sư
除灵师	? trừ linh sư
狗杂种	? cẩu tạp chủng
三表舅	? tam cữu cữu
反骨仔	? kẻ phản bội
二当家	? nhị đương gia
御兽师	? ngự thú sư
团支书	? bí thư chi đoàn
支队长	? chi đội trưởng
军士长	? quân sĩ trưởng
指挥使	? chỉ huy sứ
领航员	? hoa tiêu
世子妃	? thế tử phi
执政官	? quan chấp chính
辅导员	? phụ đạo viên
副班长	? lớp phó
董事长	? chủ tịch
公子爷	? công tử gia
御神子	? ngự thần tử
瓜娃子	? nhóc con
侍卫长	? thị vệ trưởng
阵法师	? trận pháp sư

原副楼主	? nguyên phó lâu chủ
土地公公	? thổ địa công công
体育总监	? giám đốc thể thao
老阴阳人	? lão âm dương nhân
姐姐大人	? tỷ tỷ đại nhân
太皇太后	? thái hoàng thái hậu
小王八蛋	? tiểu vương bát đản
小美人儿	? tiểu mỹ nhân nhi

教谕	? giáo dụ
总管	? tổng quản
指挥	? chỉ huy
相公	? tướng công
知县	? tri huyện
知府	? tri phủ
经理	? quản lý
统领	? thống lĩnh
主教	? giáo chủ
伯母	? bá mẫu
伯父	? bá phụ
侍卫	? thị vệ
和尚	? hoà thượng
参谋	? tham mưu
司令	? tư lệnh
同知	? đồng tri
县令	? huyện lệnh
县丞	? huyện thừa
元帅	? nguyên soái
奶奶	? nãi nãi
姨太	? di thái
姨娘	? di nương
媒婆	? môi bà
嬷嬷	? ma ma
宫女	? cung nữ
家族	? gia tộc
家村	? gia thôn
寡妇	? quả phụ
姐姐	? tỷ tỷ
阿姨	? a di
主任	? chủ nhiệm
上将	? thượng tướng
上尉	? thượng uý
前辈	? tiền bối
童鞋	? đồng hài
母神	? mẫu thần
弟弟	? đệ đệ
六弟	? lục đệ
陛下	? bệ hạ
棋圣	? kỳ thánh
弟子	? đệ tử
公子	? công tử
同学	? bạn học
侯爵	? hầu tước
公爵	? công tước
上校	? thượng tá
姑姑	? cô cô
子爵	? tử tước
殿下	? điện hạ
伯爵	? bá tước
教授	? giáo sư
真传	? chân truyền
金仙	? kim tiên
圣子	? thánh tử
阁下	? các hạ
方丈	? phương trượng
姑娘	? cô nương
掌柜	? chưởng quỹ
帅哥	? soái ca
婶婶	? thẩm thẩm
巫女	? vu nữ
娘娘	? nương nương
式神	? thức thần
婆婆	? mẹ chồng
爷爷	? gia gia
同志	? đồng chí
夫子	? phu tử
宝宝	? bảo bảo
舅舅	? cữu cữu
医仙	? y tiên
贵校	? quý trường
公司	? công ty
总工	? tổng công
敏后	? mẫu hậu
继母	? kế mẫu
爵士	? tước sĩ
伯伯	? bá bá
领民	? lãnh dân
姐妹	? tỷ muội
叔父	? thúc phụ
文友	? văn hữu
散仙	? tán tiên
将军	? tướng quân
妖皇	? yêu hoàng
车骑将军	? xa kỵ tướng quân
尚书令	? thượng thư lệnh
天王天后	? thiên vương thiên hậu
爸爸	? ba ba
金主爸爸	? kim chủ ba ba
花旦	? hoa đán
选手	? tuyển thủ
爱豆	? idol
掌门	? chưởng môn
尚书	? thượng thư
萌妹	? manh muội
班草	? ban thảo
宿友	? bạn cùng phòng
教官	? giáo quan
公公	? công công
狗奴才	? cẩu nô tài
恶獠	? ác liêu
孙儿	? tôn nhi
辅臣	? phụ thần
爱郎	? ái lang
侍郎	? thị lang
御史	? ngự sử
中丞	? trung thừa
御史中丞	? ngự sử trung thừa
首辅	? thủ phụ
千户	? thiên hộ
魔头	? ma đầu
炼体士	? luyện thể sĩ
天骄	? thiên kiêu
侧妃	? trắc phi
圣女	? thánh nữ
佛子	? phật tử
尊上	? tôn thượng
奴婢	? nô tì
主子	? chủ tử
剑豪	? kiếm hào
剑霸	? kiếm bá
小崽儿	? nhóc con
妃子	? phi tử
镇抚使	? trấn phủ sử
暴力女	? bạo lực nữ
圣天使	? thánh thiên sứ
猎手	? thợ săn
护林员	? kiểm lâm
妈妈	? ma ma
表舅子	? biểu cữu tử
奇女子	? kỳ nữ tử
直女	? trực nữ
弟弟们	? các đệ đệ
仆射	? bộc xạ
左仆射	? tả bộc xạ
右卫将军	? hữu vệ tướng quân
中庶子	? trung thứ tử
亲哥哥	? anh ruột
贵妃	? quý phi
司马	? tư mã
祭酒	? tế tửu
童儿	? đồng nhi
教母	? giáo mẫu
俊男	? tuấn nam
总导演	? tổng đạo diễn
中书侍郎	? trung thư thị lang
徒儿	? đồ nhi
郡守府	? quận thủ phủ
戏骨	? hí cốt
影后	? ảnh hậu
影帝	? ảnh đế
名导	? danh đạo
盆友	? bồn hữu
爱卿	? ái khanh
医生	? thầy thuốc
颜粉	? nhan phấn
顾问	? cố vấn
员外	? viên ngoại
叔叔	? thúc thúc
炎龙	? viêm long
妖女	? yêu nữ
主唱	? chủ xướng
校花	? ban hoa
经理	? giám đốc
小盆友	? pạn nhỏ
大厨	? đầu bếp
真君	? chân quân
警督	? cảnh đốc
魔卒	? ma tốt
圣座	? thánh tọa
坑货	? hố hàng
总编	? tổng biên
婊砸	? bích chi
郡公	? quận công
警官	? cảnh quan
千金	? thiên kim
蓝孩纸	? cậu pé
美女主播	? mỹ nữ chủ bá
武术指导	? chỉ đạo võ thuật
正宫娘娘	? chính cung nương nương
胖子	? mập mạp
骑士	? kỵ sĩ
总监	? tổng giám
书记	? bí thư
嬢嬢	? nương nương
孽徒	? nghiệt đồ
班花	? hoa khôi lớp
辩手	? biện thủ
准尉	? chuẩn uý
咸鱼	? cá muối
校董	? chủ tịch trường
学习委员	? uỷ viên học tập
尊者	? tôn giả
圣尊	? thánh tôn
妖僧	? yêu tăng
郎中	? lang trung
状元郎	? quan trạng nguyên
菩萨	? Bồ Tát
驸马爷	? phò mã gia
狐娘	? hồ nương
宫相	? cung tướng
掌玺大臣	? quan giữ ấn
主教	? giám mục
勇士	? dũng sĩ
法爷	? pháp gia
圣武士	? thánh võ sĩ
议员	? nghị viên
县议员	? huyện nghị viên
奇策士	? kỳ mưu sĩ
上仙	? thượng tiên
院生	? viện sinh
官爷	? quan gia
护士	? y tá
苦修士	? khổ tu sĩ
昭仪	? chiêu nghi
帅大叔	? soái đại thúc
常侍	? thường thị
勇者	? dũng giả
柜员	? quỹ viên
护国公	? hộ quốc công
淫贼	? dâm tặc
郡守	? quận thủ
魔女	? ma nữ
使徒	? sứ đồ
岳母	? nhạc mẫu
肝帝	? gan đế
二等兵	? binh nhì
内侍	? nội thị
军骑	? quân kỵ
古武者	? cổ võ giả
刺史	? thứ sử
心机婊	? tâm cơ bitch
千金大小姐	? thiên kim đại tiểu thư
爵爷	? tước gia
树妖	? thụ yêu
中校	? trung tá
家淫们	? các đồng dâm
交际草	? giao tế thảo
软饭男	? cơm mềm nam
债主子	? chủ nợ
浪客	? lãng khách
头儿	? đầu lĩnh
执刑官	? chấp hình quan
名儒	? danh nho
领事	? lãnh sự
参将	? tham tướng
giegie	? cưa cưa
舔狗	? liếm cẩu
蛮妇	? man phụ
母亲	? mẫu thân
劲妇	? kình phụ
老涩批	? zê già
父亲	? phụ thân
吸血姬	? hút máu cơ
使魔	? sứ ma
军爷	? quân gia
主上	? chúa thượng
护法	? hộ pháp
崽子	? nhóc con
居士	? cư sĩ
秘书	? bí thư
丫头	? nha đầu
供奉	? cung phụng
婆婆	? bà bà

推官	? thôi quan
状元	? trạng nguyên
提督	? đề đốc
判官	? phán quan
老鸨	? lão bảo
皇叔	? hoàng thúc
主席	? chủ tịch
管事	? quản sự
护卫	? hộ vệ
校尉	? hiệu uý
领队	? lĩnh đội
姨妈	? di ma
秀才	? tú tài
大妈	? đại ma
大学士	? đại học sĩ
圣人	? thánh nhân
奶奶	? nãi nãi
执事	? chấp sự
大帝	? Đại đế
