58	cuu-ma-dich-bat-luan-than-tinh	Mợ Bất Luân Thân Tình
59	lan-kha-ky-duyen	Lạn Kha Kỳ Duyên
60	huyen-tran-dao-do	Con Đường Bụi Huyền
61	khung-bo-phuc-to	Khủng Bố Hồi Phục
62	xich-tam-tuan-thien	Xích Tâm Tuần Thiên
63	de-cuu-dac-khu	Đặc Khu Thứ Chín
64	luc-loan-ky-tich	Lục Kỳ Tích Vịnh
65	van-gioi-vien-mong-su	Thầy Giải Mộng Vạn Giới
66	mong-hoi-dai-minh-xuan	Mộng Hồi Đại Minh Xuân
67	hoan-cau-oat-tho-dang	Vòng Quanh Trái Đất Đào Đảng Đất
68	sinh-hoat-he-du-hi	Trò Chơi Hệ Sinh Hoạt
69	van-the-chi-lo	Con Đường Văn Thể
70	van-toc-chi-kiep	Vạn Tộc Chi Kiếp
71	khuy-thanh-thu-phu-tong-du-	Thiệt Thành Nhà Giàu Nhất Theo Trò Chơi Bắt Đầu
72	dai-tuy-quoc-su	Tuỳ Quốc Sư Lớn
73	quan-mien-duong-hoang	Hoàng Mũ Miện Đường
74	minh-thien-ha	Dưới Ngày Mai
75	tuc-loc	Tức Hươu
76	to-tru	Bếp Tô
77	van-phap-vo-cuu	Vạn Pháp Không Tội
78	huyen-hon-dao-chuong	Huyền Hồn Đạo Chương
79	phi-viet-phao-mat-thoi-dai	Bay Qua Thời Đại Bọt Biển
80	ngoan-gia-hung-manh	Người Chơi Hung Mãnh
81	tong-1983-khai-thuy	Theo 1983 Bắt Đầu
82	tien-dao-truong-thanh	Trường Thanh Tiên Đạo
83	nga-nang-khan-kien-trang-thai-lan	Ta Có Thể Trông Thấy Status Bar
84	y-lo-than-do	Y Đường Bằng Phẳng Đường
85	luan-hoi-lac-vien	Luân Hồi Lạc Viên
86	than-thoai-ban-tam-quoc	Thần Thoại Bản Tam Quốc
87	sieu-than-co-gioi-su	Thợ Máy Siêu Thần
88	tam-thon-nhan-gian	Ba Tấc Nhân Gian
89	dai-y-lang-nhien	Đại Y Lăng Nhiên
90	chu-gioi-mat-nhat-tai-tuyen	Nhiều Thế Giới Tận Thế Tại Tuyến
91	co-hy-lap-chi-dia-trung-	Cổ Hy Lạp: Bá Chủ Địa Trung Hải
92	ty-le-giam	Ty Lễ Giám
93	thien-duong-cam-tu	Trời Đường Cẩm Tú
94	tai-bat-chinh-thuong-dich-dia-	Những Ngày Mở Phòng Ăn Ở Địa Cầu Không Bình Thường
95	lam-cao-khai-minh	Lâm Cao Sao Mai
96	nga-chan-mot-tuong-trung-sinh-a	Ta Thật Không Muốn Sống Lại Mà
97	toi-cuong-cuong-binh	Nhất Mạnh Cuồng Binh
98	phuc-thien-thi	Phục Thiên Thị
99	than-thanh-la-ma-de-quoc	Đế Quốc La Mã Thần Thánh
100	le-minh-chi-kiem	Thanh Kiếm Lê Minh
101	nghich-thien-ta-than	Tà Thần Nghịch Thiên
102	tuc-chu	Kí Chủ
103	dac-lap-phuc-mai-gia-cau-	Câu Lạc Bộ Người Mua Trafford
104	dai-so-cu-tu-tien	Big Data Tu Tiên
105	kiem-lai	Kiếm Đến
106	toa-vong-truong-sinh	Ngồi Quên Trường Sinh
107	nguyen-ton	Nguyên Tôn
108	ma-lam	Ma Đến
109	duong-y-sinh-khai-lieu-ngoai-quai	Đương Thầy Thuốc Mở Tool Hack
110	chi-gia-ca-1990	Chicago 1990
111	thien-a-giang-lam	Thiên A Giáng Lâm
112	tong-co-hoach-dieu-khai-thuy	Bắt Đầu Từ Ubume
113	ac-ma-tuu-tai-than-bien	Ác Ma Liền Tại Bên Người
114	dai-tru-thanh-son-xuyen-viet	Mang Theo Thanh Sơn Xuyên Qua
115	tu-nhien-bi-ngu	Tiếng Bí Tự Nhiên
116	luyen-kim-thu-ky	Tự Tay Ghi Chép Luyện Kim
117	thuong-cuu-dai-minh-trieu	Cấp Cứu Đại Minh Triều
118	gia-ca-minh-tinh-lai-tu-	Cái Minh Tinh Này Tới Từ Địa Cầu
119	bo-kiem-dinh	Bước Đình Kiếm
120	thiet-huyet-tan-minh	Sáng Thiết Huyết Tàn
121	dia-cau-de-nhat-kiem	Kiếm Đệ Nhất Địa Cầu
122	nghich-thien-ta-than	Tà Thần Nghịch Thiên
123	nga-mon-dich-dien-anh-thoi-dai	Thời Đại Điện Ảnh Của Chúng Ta
124	nga-su-huynh-thuc-tai-thai-	Sư Huynh Của Ta Thực Sự Quá Vững Vàng Rồi
125	am-hon	Âm Hồn
126	hoc-ma-duong-thanh-he-thong	Học Ma Dưỡng Thành Hệ Thống
127	phap-lan-tay-chi-ho	Cáo Pháp
128	toan-cau-anh-de	Ảnh Đế Toàn Cầu
129	nga-dich-nhat-thien-huu-48-	Một Ngày Của Ta Có 48 Giờ
130	dai-quoc-chien-chuan	Đại Quốc Chiến Chuẩn
131	toan-am-giai-cuong-trieu	Toàn Âm Giai Cuồng Triều
132	tu-la-vo-than	Võ Thần Tu La
133	di-nang-tieu-than-nong	Dị Năng Thần Nông Nhỏ
134	khung-dinh-chi-thuong	Trên Mái Vòm
135	trung-oc	Trùng Ốc
136	quy-tang-kiem-tien	Quy Tàng Kiếm Tiên
137	my-thuc-cung-ung-thuong	Nhà Cung Ứng Mỹ Thực
138	cuc-pham-toan-nang-hoc-sinh	Cực Phẩm Học Sinh Toàn Năng
139	de-ba	Bá Đế
140	trung-sinh-the-ky-chi-giao	Trùng Sinh Quan Hệ Thế Kỷ
141	tien-hoa-dich-tu-thap-luc-	Bốn Tỷ Sáu Hợp Tấu Tiến Hoá
142	thanh-khu	Khư Thánh
143	phong-vu-dai-tong	Mưa Gió Đại Tống
144	nga-tai-hao-mon-tu-van-vat	Ta Tại Hào Môn Tu Văn Vật
145	tong-hoa-phuong-hoang-khai-thuy-	Lính Đặc Chủng Theo Lửa Phượng Hoàng Bắt Đầu
146	van-tuong-chi-chu	Chúa Tể Vạn Vật
147	nhi-chan-thi-ca-thien-tai	Ngươi Thật Là Cái Thiên Tài
148	tuong-tam	Tượng Tâm
149	dau-la-dai-luc-chung-cuc-	Đấu Đại Lục La Ⅳ Chung Cực Đấu La
150	nga-huu-nhat-toa-mao-hiem-oc	Ta Có Một Toà Nhà Mạo Hiểm
151	duong-tan	Đường Tàn
152	chue-te	Gửi Rể
153	phan-ban-dich-dai-ma-vuong	Đại Ma Vương Phản Loạn
154	nga-chan-dich-truong-sinh-bat-lao	Ta Thật Sự Trường Sinh Bất Lão
155	cong-luoc-cuc-pham	Công Lược Cực Phẩm
156	kiem-dieu-cuu-ca	Kiếm Diệu Chín Bài Hát
157	liet-vo-chi	Chí Liệt Võ
158	do-thi-thau-huong-tac	Đô Thị Trộm Hương Tặc
159	chien-luoc-cap-thien-su	Thiên Sứ Cấp Chiến Lược
160	nhat-quang-nu-than	Nhật Quang Nữ Thần
161	fate-can-nguyen-chi-bong	FATE Căn Nguyên Chi Bổng
162	tru-gia-dai-my-nu	Đại Mỹ Nữ Ở Nhà
163	phu-the-ky	Nhập Vào Người Ký
164	chieu-nhat-thien-kiep	Chiếu Nhật Thiên Kiếp
165	duc-thien-tien	Muốn Tiên Trên Trời
166	yeu-tang-tay-hanh-ky	Yêu Tăng Tây Hành Ký
167	tu-xuyen	Tử Xuyên
168	phong-tu-vat-ngu	Phong Tư Vật Ngữ
169	vo-gia	Vô Gia
170	thiet-minh	Trộm Sáng
171	minh	⟨Minh⟩
172	lien-hoa-bao-giam	Liên Hoa Bảo Giám
173	dau-la-dai-luc	Đại Lục Đấu La
174	than-mo	Mộ Thần
175	bach-ho-thien-ha	Thiên Hạ Cáo Trắng
176	chu-tuoc-ky	Chu Tước Ký
177	ac-ma-dao	Đảo Ác Ma
178	thieu-hoan-thien-quan	Triệu Hoán Nghìn Quân
179	khon-long-thang-thien	Hãm Rồng Thăng Thiên
180	tam-nhan-diem-tinh-chu	Ba Diễm Tình Mắt Chú
181	giang-son-my-nhan-chi	Chí Mỹ Nhân Giang Sơn
182	phong-lam-di-the	Gió Đến Dị Giới
183	thu-huyet-phi-dang	Thú Huyết Sôi Trào
184	chi-ton-vo-lai	Vô Lại Chí Tôn
185	ma-thu-kiem-thanh-di-gioi-	Kiếm Thánh Ma Thú Thế Giới Khác Tung Hoành
187	nghich-tuy	Nghịch Tuỳ
188	thuan-minh	Thuận Sáng
189	khanh-du-nien	Khánh Dư Niên
190	thanh-minh-thuong-ha-do	Thanh Minh Thượng Hà Đồ
191	1911-tan-trung-hoa	1911 Trung Hoa Mới
192	nga-thi-a-dau-nga-bat-	Ta Là A Đấu, Ngã Bất Dụng Nhân Phù
193	thiet-huyet-dai-minh	Đại Minh Thiết Huyết
194	hoi-dao-minh-trieu-duong-vuong-gia	Trở Lại Minh Triều Làm Vương Gia
195	thinh-khieu-nga-uy-liem-tam-the	Mời Kêu Ta William Ba Thế
196	dan-ngan	Vết Đạn
197	quoc-pha-son-ha-tai	Quốc Phá Núi Sông Tại
198	lang-quan	Bầy Sói
199	nhat-ca-nhan-dich-khang-nhat	Một Kháng Nhật Của Cá Nhân
200	cuc-pham-gia-dinh	Cực Phẩm Gia Đinh
201	soan-thanh	Soán Rõ
202	bac-duong	Bắc Dương
203	lang-van-chi-di	Lăng Vân Chí Dị
204	phong-luu-tam-quoc	Tam Quốc Phong Lưu
205	thien-sinh-quach-phung-hieu	Quách Trời Sinh Phụng Hiếu
206	di-cach-menh-dich-danh-nghia	Lấy Danh Nghĩa Của Cách Mạng
207	thap-long-doat-dich	Mười Rồng Đoạt Đích
208	khong-toc-tinh-ngan	Trống Vết Sao Tốc
209	do-thi-chi-ton-thu-phu	Nhà Giàu Nhất Chí Tôn Đô Thị
211	the-bat-nhu-thiep	Thê Không Bằng Thiếp
212	hoa-hao-nguyet-vien	Đoàn Tụ Sum Vầy
213	hoa-do-liep-nhan	Hoa Đều Thợ Săn
215	su-thuong-de-nhat-hon-loan	Sử Thượng Đệ Nhất Hỗn Loạn
216	hac-khach-truyen-thuyet	Truyền Thuyết Hacker
217	diem-ngo-luong-giai-bi-vong-luc	Diễm Ngộ Lượng Giải Bản Ghi Nhớ
218	dai-minh-tinh-ai-thuong-nga	Đại Minh Tinh Yêu Ta
219	trung-sinh-truyen-ky	Trùng Sinh Truyền Kỳ
220	do-than-truyen-thuyet	Truyền Thuyết Đổ Thần
221	trung-quoc-long-to	Trung Quốc Long Tổ
222	an-sat	Ẩn Sát
224	nhat-ca-thien-tai-dich-binh-	Một Người Bình Thường Của Thiên Tài Sinh
225	sieu-cap-he-thong	Hệ Thống Siêu Cấp
226	da-tinh-chi-tam	Trái Tim Dã Tính
227	hoa-khai-kham-chiet	Hoa Nở Chịu Gãy
228	sinh-tieu-thu-ho-than	Thủ Hộ Thần Cầm Tinh
229	nga-dich-my-nu-lao-tong	Lão Tổng Mỹ Nữ Của Ta
233	vinh-sinh	Vĩnh Sinh
235	vu-tung	Vu Tụng
236	la-phu	Louvre
237	bach-luyen-thanh-tien	Bách Luyện Thành Tiên
238	sieu-cap-y-sinh	Thầy Thuốc Siêu Cấp
239	trung-sinh-chi-tam-dong	Trùng Sinh: Tâm Động
240	thuong-pham-han-si	Thượng Phẩm Hàn Sĩ
241	bo-bo-sinh-lien	Bộ Bộ Sinh Liên
242	tuc-cau-tu-cai-khi	Bóng Đá Sửa Chữa Khí
245	dai-chu-hoang-toc	Đại Chu Hoàng Tộc
247	nhiet-nao-huyen-hieu-dich-buu-	Đời Người Dũng Mãnh Náo Nhiệt Ồn Ào
248	thien-khien-chi-tam	Trái Tim Trời Phạt
249	tien-ho	Tiên Hồ
250	thai-binh-ky	Ký Thái Bình
251	than-binh-thien-tu	Thiên Tử Thần Binh
252	hieu-than	Cú Thần
253	vo-han-anh-linh	Anh Linh Vô Hạn
254	do-thi-than-thoai	Thần Thoại Đô Thị
255	trung-sinh-gia-cuong-tuong-khuc	Cuồng Tưởng Khúc Người Trùng Sinh
256	thien-ha	Thiên Hạ
257	quat	Quật
258	mach-thuong-hanh	Mạch Thượng Hành
260	quy-thich	Quỷ Đâm
261	lao-tu-thi-lai-cap-mo	Bố Mày Là Con Cóc Ghẻ
262	vinh-dieu-te-tu	Vinh Quang Tế Tự
263	thieu-hoan-han-nuu	Triệu Hoán Bà Chằn
264	thap-nhat-hac-am-tuong-chi	Mười Ngày Hắc Ám Sắp Tới
266	vo-han-khung-bo	Khủng Bố Vô Hạn
267	gia-thien	Che Trời
268	duong-than	Dương Thần
269	chinh-phuc-thien-quoc	Chinh Phục Thiên Quốc
270	ta-khi-lam-nhien	Tà Khí Lẫm Nhiên
271	ban-long	Bàn Long
272	dai-tan-chi-tieu-binh-truyen-ky	Tiểu Binh Đại Tần Truyền Kỳ
273	nhi-quy-tu-han-gian-ly-	Hán Gian Nhị Quỷ Tử Lý Phú Quý
274	thon-phe-tinh-khong	Thôn Phệ Tinh Không
275	hac-am-hoc-do	Học Đồ Hắc Ám
276	doc-du	Độc Du
277	liep-quoc	Săn Quốc
278	long-trieu	Lộng Triều
279	duong-trieu-hao-nam-nhan	Nam Nhân Tốt Đường Triều
280	thien-bao-phong-luu	Thiên Bảo Phong Lưu
281	than-tien-da-huu-giang-ho	Thần Tiên Cũng Có Giang Hồ
282	vo-lam-cao-thu-tai-hieu-vien	Cao Thủ Võ Lâm Ở Trường Học
283	su-thuong-de-nhat-hon-dap	Thứ Nhất Trong Lịch Sử Lộn Xộn
284	te-chap-thien-ha	Tể Chấp Thiên Hạ
285	than-bi-vat-ngu	Câu Chuyện Thần Bí
286	vu-su-the-gioi-dich-phap-su	Pháp Sư Của Thế Giới Vu Sư
287	bang-hoai-the-gioi-dich-truyen-	Truyền Kỳ Đại Mạo Hiểm Của Thế Giới Sụp Đổ
288	ban-toi	Bạn Tội
289	ma-huyen-the-gioi-dich-kinh-	Vấn Đề Kinh Tế Của Thế Giới Huyền Diệu
290	that-lac-dich-vuong-quyen	Vương Quyền Thất Lạc
291	thuc-tien	Ăn Tiên
292	han-che-cap-mat-nhat-chung-hau	Chứng Bệnh Tận Thế Cấp Hạn Chế
293	vo-han-sat-lo	Vô Hạn Giết Đường
294	thu-ma-thu-ky	Sổ Tay Săn Ma
295	dia-su	Địa Sư
296	tri-bac-du	Tri Bắc Du
297	di-the-dao-hoang	Dị Giới Trộm Hoàng
298	nguc-loi	Ngục Lôi
299	dau-khai	Đấu Khải
300	hac-am-huyet-thoi-dai	Thời Đại Máu Hắc Ám
301	truong-dao-vo-ngan	Trường Đao Không Vết
302	gian-khach	Gian Khách
303	tinh-te-du-luan	Du Thuyền Liên Sao
304	song-kiem	Song Kiếm
305	trung-sinh-chi-tac-hanh-thien-ha	Trùng Sinh: Tặc Hành Thiên Hạ
306	vong-du-oan-han-oc	Game Online Oán Hận Phòng
307	vuong-bai-tien-hoa	Vương Bài Tiến Hoá
308	dia-cau-sinh-ton-but-ky	Địa Cầu Sinh Tồn Bút Ký
309	kiem-dao	Kiếm Đạo
311	tuu-than	Tửu Thần
312	tu-vong-ky-si	Tử Vong Kỵ Sĩ
313	vong-du-chi-tu-dao-ky-lo	Game Online: Tu Đạo Lối Rẽ
314	tong-thoi-quy	Tống Thời Quy
315	tien-ngao	Tiên Ngạo
316	ho-lang	Hổ Lang
317	co-dong-phong-bao	Phong Bạo Cơ Động
318	phong-khoi-tu-la-hiep	Phong Khởi Tử La Hiệp
319	gia-vien	Gia Viên
322	dai-dao-hau-ve	Hậu Vệ Đeo Đao
323	thiet-quoc-dai-dao	Đạo Tặc Cướp Nước
325	thanh-do	Thánh Đồ
326	quan-lam	Quân Lâm
327	cuu-tieu-thien-de	Thiên Đế Cửu Tiêu
328	tu-chan-the-gioi	Tu Chân Thế Giới
329	chien-quoc-chi-thuong-sam-ty-	Chiến Quốc: Gia Thần Của Uesugi
330	tu-chan-gioi-bai-loai	Bại Loại Tu Chân Giới
331	quan-truong-kieu-tu	Con Cưng Quan Trường
334	tran-kinh-thien-ha	Trận Kinh Thiên Xuống
335	dan-quoc-dau-co-gia	Kẻ Đầu Cơ Dân Quốc
336	toi-hau-dich-dia-cau-chien-than	Địa Cầu Chiến Thần Cuối Cùng
337	van-kinh	Vấn Kính
338	ma-phap-ky-si-anh-hung-	Truyền Thuyết Anh Hùng Hiệp Sĩ Ma Pháp
340	trong-lam-cu-tich	Rắn Mối Khổng Lồ Rừng Nặng
341	thi-than	Là Thần
342	huyen-nhat-xuan-thu	Huyến Xuân Thu Ngày
343	cuu-luu-nhan-nhan	Người Cửu Lưu Nhàn
344	long-thuong-dau-than	Rồng Thương Đấu Thần
345	nam-thap-tu-tinh-ha-dich-	Nam Thập Tự Thần Tích Dưới Sao
347	di-gioi-thu-y	Bác Sĩ Thú Y Thế Giới Khác
348	mm-do-tai-thien-thuong-phi	Mm Đều Tại Bầu Trời Bay
349	hac-oa	Oan Ức
350	hua-tien-chi	Hứa Tiên Chí
351	liep-thien	Săn Trời
353	thien-nguyen-dot-pha	Gurren Lagann
354	vo-dich-hanh-van-tinh	Vô Địch Ngôi Sao May Mắn
355	thien-quoc-giang-lam	Thiên Quốc Buông Xuống
356	ti-bi-tai-han-mat	Hèn Hạ Tại Hán Mạt
357	ban-son	Chuyển Núi
358	linh-son	Linh Sơn
359	than-du	Thần Du
360	quy-co	Cổ Quỷ
361	quang-chi-tu	Con Ánh Sáng
362	cam-de	Cầm Đế
363	bang-hoa-ma-tru	Băng Hoả Bếp Ma
364	duy-nga-doc-tien	Duy Ta Độc Tiên
365	thien-luong-dich-tu-than	Tử Thần Thiện Lương
366	cuong-than	Thần Cuồng
367	thien-chau-bien	Thiên Châu Biến
368	hi-bi-tieu-kiem	Cười Đùa Tí Tửng
369	bien-kiem-vo-si	Trở Mặt Võ Sĩ
370	duc-vong-trung-dich-thanh-thi	Thành Thị Trong Dục Vọng
371	thien-vuong	Thiên Vương
372	ac-ma-phap-tac	Ác Ma Pháp Tắc
373	lam-khac	Link
374	long-chien-tinh-da	Rồng Chiến Sao Dã
375	thang-long-dao	Rồng Bay Lên Nói
376	than-ma	Thần Ma
377	ta-phong-khuc	Khúc Tà Phong
378	tieu-hanh-ky	Tiêu Hành Kỷ
379	ta-long-dao	Tà Long Nói
381	dai-tong-thoi-dai-chu-san	Tuần San Thời Đại Đại Tống
382	bach-muc-lao-su	Lão Sư Mục Trắng
383	tinh-phong-truyen-thuyet	Truyền Thuyết Đỉnh Sao
384	thon-mang	Tấc Gai
385	tinh-than-bien	Sao Trời Biến
386	cuu-dinh-ky	Cửu Đỉnh Ký
388	yy-chi-vuong	Vua YY
389	thien-kinh	Trời Giơ
390	tru-tien	Tru Tiên
391	tien-lo-yen-tran	Tiên Lộ Yên Trần
392	bat-tu-minh-than	Minh Thần Bất Tử
393	than-thuong-vo-dich	Thần Thương Vô Địch
394	chung-cuu-dai-duong-mm	Cứu Vớt MM Đại Đường
395	thieu-hoan-van-tue	Triệu Hoán Vạn Tuế
396	dong-cu-van-tue	Ở Chung Vạn Tuế
397	ngo-khong-truyen	Ngộ Không Truyện
398	the-gioi-na-ma-dai	Thế Giới Như Vậy Lớn
399	nhat-dieu-chuyen-sinh	Nhật Diệu Chuyển Sinh
401	thien-kiem-ca	Bài Hát Thiên Kiếm
402	sao-tien-cao-thu-tai-hoa-do	Xào Tiền Cao Thủ Tại Tốn Đều
403	dai-tranh-chi-the	Đại Tranh Chi Thế
404	dai-ma-vuong	Đại Ma Vương
405	vo-cuc-ma-dao	Vô Cực Ma Nói
406	thap-phuong-thien-si	Sĩ Thập Phương Thiên
407	ngan-thuan-ngan-ai-muoi	Rất Thuần Rất Mập Mờ
408	thien-hanh-kien	Trời Hành Kiện
409	nguyet-lac	Tháng Rụng
410	ta-anh	Anh Đào Tà
415	dao-duyen-nho-tien	Nói Tiên Nho Duyên
417	si-thien-chi-duc	Rực Chiếc Cánh Trời
418	trung-sinh-chi-quan-lo-thuong-do	Trùng Sinh: Quan Lộ Thương Đường
419	huyet-da-phuong-hoang	Huyết Dạ Phượng Hoàng
420	hap-huyet-lieu	Hút Máu Liêu
423	tiet-doc	Báng Bổ
424	bao-phong-vu-trung-dich-ho-diep	Bươm Bướm Trong Bão Táp
425	trung-sinh-truyen-thuyet	Trùng Sinh Truyền Thuyết
426	thien-dia-chien-hon	Thiên Địa Chiến Hồn
428	ma-dao-vu-trang	Võ Trang Ma Đạo
429	thien-van	Trời Hỏi
430	thien-bang-tung-hoanh	Trời Bằng Tung Hoành
431	hoa-duc-du-bang-ky-dich-	Cánh Lửa Cùng Vây Cá Băng Trách Chuyện Lạ
432	ma-phap-hoc-do	Học Đồ Ma Pháp
433	de-bat-nhat	Ngày Thứ Tám
434	quan-quan-truyen-ky	Truyền Kỳ Quán Quân
435	quan-quan-giao-phu	Cha Đỡ Đầu Quán Quân
436	nga-mon-thi-quan-quan	Chúng Ta Là Quán Quân
438	tu-linh-phap-su	Pháp Sư Tử Linh
439	am-anh-nhai	Phố Bóng Đen
440	cuong-long	Cường Long
441	menh-van-truong-da-chi-du-ngon	Tiên Đoán Đêm Dài Vận Mệnh
444	chung-ngoc	Loại Ngọc
446	tien-luu	Tiên Lưu
447	hac-chi-du-ngon-thu	Tiên Đoán Đen Sách
448	dau-pha-thuong-khung	Đấu Phá Thương Khung
449	di-the-ta-quan	Dị Giới Quân Tà
450	lang-thien-truyen-thuyet	Truyền Thuyết Lăng Thiên
451	tien-nghich	Tiên Nghịch
452	pham-nhan-tu-tien-truyen	Phàm Nhân Tu Tiên Truyện
453	hoang-kim-dong	Con Ngươi Hoàng Kim
454	quan-khi	Quan Khí
455	trung-sinh-chi-nha-noi	Trùng Sinh: Nha Nội
456	bat-diet-kiem-the	Bất Diệt Thể Kiếm
457	dao-mo-but-ky	Bút Ký Trộm Mộ
458	hon-don-loi-tu	Hỗn Độn Lôi Tu
459	truong-tam-phong-di-gioi-du	Thế Giới Khác Trương Tam Phong Bơi
460	tien-chi-co-dung-quan	Lính Đánh Thuê Tiên Chi
461	ti-mong-truyen-ky	So Với Mông Truyền Kỳ
462	quoc-y-cao-thu	Cao Thủ Y Học Trung Quốc
463	mao-bai-dai-anh-hung	Đại Anh Hùng Giả Mạo
464	thien-tai-y-sinh	Thầy Thuốc Thiên Tài
465	gia-ly-duong-ca-ho-ly-tinh	Trong Nhà Dưỡng Cái Hồ Ly Tinh
466	tranh-hong-nien-dai	Niên Đại Cam Đỏ
467	nhat-khoi-hon-qua-dich-nhat-tu	Ngày Cùng Nơi Hỗn Qua
468	vo-cuc-dien-phong	Võ Cực Đỉnh Phong
469	thong-thien-dai-thanh	Đại Thánh Thông Thiên
470	trung-sinh-chi-dai-niet-ban	Trùng Sinh: Lớn Niết Bàn
471	di-hoa	Dị Hoá
472	mo-khoa-hoc-dich-trach-dien-	Trạch Điện Từ Pháo Khoa Học Nào Đó
473	vo-han-dao-vo-gia-lo	Vô Hạn Đạo Võ Giả Lộ
474	ho-phach-chi-kiem	Thanh Kiếm Hổ Phách
475	1908-vien-dong-cuong-nhan	1908 Cuồng Nhân Viễn Đông
476	mat-the-thu-cat-gia	Kẻ Thu Hoạch Mạt Thế
477	vo-than	Võ Thần
478	nhat-the-hieu-hung	Kiêu Hùng Một Đời
479	tat-dan	Satan
480	tong-giao-tai-phan-so	Sở Tài Phán Tôn Giáo
481	tran-nhi-cau-dich-yeu-nghiet-	Cuộc Đời Yêu Nghiệt Của Trần Nhị Cẩu
482	thien-than-ha-pham	Thiên Thần Hạ Phàm
483	long-xa-dien-nghia	Long Xà Diễn Nghĩa
484	phat-ban-thi-dao	Phật Vốn Là Đạo
485	hac-son-lao-yeu	Hắc Sơn Lão Yêu
486	ky-thuat-trach-dich-vo-han-	Bút Ký Lữ Hành Vô Hạn Của Dân Kỹ Thuật
487	vo-tan-vu-trang	Vô Tận Võ Trang
490	nhan-sinh-truong-han-thuy-truong-dong	Nhân Sinh Trường Hận Thuỷ Trường Đông
491	tram-lam-huy-chuong	Xanh Thẳm Huy Chương
