hanzi,snamefreq,gnamefreq
"雏",,5
"础",,2
"储",30,1
"楚",15,258
"褚",90,
"处",,2
"揣",1,
"川",,406
"传",,339
"椽",,2
"钏",,1
"窗",,1
"创",,9
"吹",,1
"垂",,1
"锤",,3
"春",1,1954
"椿",,79
"纯",,180
"淳",,19
"偆",,1
"祠",,1
"慈",1,35
"此",,2
"次",,3
"赐",,20
"从",11,59
"枞",,1
"聪",,120
"丛",35,32
"孮",,1
"淙",,3
"琮",,2
"崔",350,
"粹",,5
"翠",,95
"村",,59
"存",,163
"寸",5,
"达",3,292
"笪",2,
"答",,1
"大",,1281
"代",5,81
"岱",,142
"带",,2
"待",,1
"戴",492,3
"黛",,3
"丹",,147
"单",106,1
"旦",,2
"但",1,
"淡",,7
"澹",,1
"当",,2
"党",18,25
"谠",,1
"荡",,4
"刀",10,
"导",,9
"岛",,2
"焘",,67
"道",,380
"得",1,28
"德",2,2439
"的",,2
"灯",,1
"登",,124
"等",,6
"邓",3617,
"镫",,1
"堤",,1
"滴",,27
"镝",,1
"狄",2,2
"迪",,91
"涤",,5
"荻",,5
"笛",,4
"邸",2,
"底",1,
"地",,20
"弟",,39
"帝",,22
"娣",,38
"第",,11
"谛",,1
"棣",,45
"蒂",,5
"滇",,3
"典",,169
"点",,3
"佃",,4
"甸",,2
"店",,1
"玷",,1
"淀",,5
"奠",,8
"殿",,174
"刁",29,
"调",,1
"蝶",,15
"丁",839,151
"顶",,1
"鼎",1,56
"定",,353
"锭",,2
"东",8,2682
"冬",,163
"董",1124,12
"栋",,193
"洞",,21
"都",5,40
"斗",,25
"豆",,9
"窦",30,
"督",,2
"读",,1
"独",,31
"笃",,18
"堵",1,
"杜",654,
"度",,7
"渡",,5
"端",2,46
"段",227,4
"锻",,1
"堆",,2
"对",,1
"敦",,69
"墩",,1
"囤",,1
"盾",,3
"多",,32
"铎",,76
"朵",1,26
"俄",1,
"娥",,91
"峨",,4
"莪",,1
"婀",,1
"谔",,1
"鄂",5,12
"锷",,3
"恩",,2436
"儿",,14
"而",,12
"尔",,51
"耳",,2
"洱",,33
"珥",,2
"二",,57
"发",,417
"伐",,1
"法",,117
"帆",,34
"番",1,
"藩",,29
"凡",,180
"樊",96,
"蕃",,3
"璠",,4
"繁",,204
"饭",,3
"范",551,139
"梵",,2
"方",311,371
"坊",,1
"芳",1,693
"防",,4
"房",46,3
"仿",,10
"昉",,3
"舫",,32
"放",,48
"飞",,419
"妃",,10
"非",,101
"菲",,21
"霏",,3
"斐",1,8
"沸",,26
"费",141,
"芬",,283
"汾",,1
"粉",,14
"奋",,43
"丰",39,131
"风",,135
"沣",,2
"枫",,21
"封",11,3
"峰",,673
"烽",,133
"锋",,159
"冯",493,5
"逢",,20
"凤",1,496
"奉",8,11
"佛",,12
"缶",,1
"夫",,216
"肤",,1
"弗",,1
"伏",15,17
"孚",,147
"扶",1,16
"芙",,5
"服",,1
"绂",,15
"浮",,11
"桴",,1
"符",227,
"福",,983
"辐",,1
"黻",,1
"甫",,204
"府",,3
"斧",,1
"辅",,25
"父",,1
"付",26,13
"妇",,3
"阜",,1
"复",,111
"赴",,5
"副",,1
"傅",630,2
"富",5,568
"赋",,24
"馥",,7
"改",,12
"盖",16,2
"概",,1
"干",4,24
"甘",62,8
"敢",,1
"淦",9,24
"赣",,22
"冈",1,24
"刚",,752
"岗",,51
"纲",,22
"钢",,37
"港",,4
"皋",,12
"高",1140,274
"杲",6,2
"镐",,104
"告",,1
"诰",,1
"郜",4,
"戈",4,12
"圪",,1
"哥",,2
"鸽",,1
"歌",,21
"阁",,17
"革",,32
"格",,53
"葛",106,
"舸",,2
"个",,1
"根",,721
"艮",,2
"更",,21
"庚",2,78
"耕",,24
"赓",,7
"羹",,1
"耿",49,10
"工",,85
"弓",2,3
"公",13,82
"功",,83
"宫",26,8
"恭",,26
"龚",392,
"巩",27,
"共",,3
"贡",5,11
"狗",,2
"苟",20,
"构",,2
"姑",,8
"沽",,1
"鸪",,1
"辜",117,
"古",41,13
"谷",145,58
"鹄",,17
"鼓",,1
"固",,2
"顾",404,
"崮",,1
"挂",,1
"关",179,326
"观",,20
"官",30,73
"冠",,171
"管",94,1
"贯",,9
"惯",,1
"光",3,2216
"珖",,5
"广",2,816
"归",11,7
"圭",,6
"妫",,1
"规",,6
"闺",,2
"珪",,1
"轨",,1
"癸",,4
"贵",5,716
"桂",54,373
"郭",944,8
"锅",,5
"国",8,4012
"帼",,13
"虢",3,
"果",59,32
"过",9,
"哈",2,2
"孩",,4
"海",2,1758
"含",,6
"邯",,1
"晗",,1
"涵",,66
"寒",,46
"韩",787,5
"罕",,3
"汉",,491
"捍",,2
"菡",,1
"翰",,38
"瀚",,15
"杭",16,6
"航",,36
"蒿",2,2
"豪",,187
"好",,53
"郝",144,
"昊",,20
"浩",,681
"皓",,33
"颢",,2
"灏",,8
"禾",,10
"合",,31
"何",1109,5
"和",34,352
"河",,177
"核",,1
"荷",,34
"翮",,2
"龢",,6
"贺",212,120
"赫",2,40
"鹤",,173
"黑",10,3
"恨",,3
"亨",,39
"恒",,195
"珩",,22
"横",,6
"衡",4,59
"蘅",,5
"弘",,51
"红",3,1348
"宏",,686
"泓",,54
"洪",197,693
"荭",,1
"虹",,118
"鸿",,420
"侯",288,28
"后",,24
"厚",1,119
"乎",,1
"呼",1,2
"忽",2,
"狐",,2
"胡",2518,6
"湖",,32
"瑚",,6
"虎",2,194
"浒",,1
"户",5,
"沪",,13
"祜",,4
"扈",18,
"花",43,112
"华",132,4513
"骅",,16
"铧",,24
"滑",3,
"化",,64
"画",,1
"桦",,5
"怀",2,784
"淮",,15
"槐",,15
"欢",,27
"还",,2
"环",,1038
"桓",2,64
"寰",,56
"缓",,1
"奂",,4
"宦",2,1
"唤",,1
"浣",,2
"涣",,2
"焕",,212
"荒",,17
"皇",1,4
"黄",1548,22
"湟",,27
"煌",,17
"璜",,2
"晃",,1
"恢",,8
"晖",1,64
"珲",,1
"翚",,1
"辉",,817
"徽",,38
"回",34,5
"悔",,1
"卉",,1
"汇",,6
"会",,121
"绘",,1
"桧",,1
"晦",,1
"惠",18,448
"慧",,252
"蕙",,14
"混",,1
"活",,12
"火",1,42
"伙",,2
"霍",104,2
"机",,19
"玑",,1
"姬",38,25
"积",,60
"基",,2180
"绩",,2
"嵇",14,
"缉",,1
"勣",,1
"跻",,1
"箕",,1
"稽",2,
"激",,2
"及",,16
"吉",83,280
"极",,12
"疾",,13
"集",,5
"楫",,4
"籍",1,
"己",,36
"计",15,6
"记",,22
"纪",47,356
"际",,21
"季",119,79
"既",,1
"济",,113
"继",1,508
"寄",,2
"霁",,9
"稷",,7
"冀",14,20
"骥",,46
"加",,127
"佳",,155
"迦",,1
"枷",,1
"珈",,2
"家",,2265
"葭",1,
"嘉",1,532
"戛",1,
"甲",,107
"贾",719,4
"驾",,2
"稼",,24
"坚",,219
"间",,1
"兼",,2
"监",,2
"俭",,48
"简",22,6
"戬",,9
"翦",24,
"见",,8
"建",,3266
"剑",,410
"荐",,1
"贱",,1
"健",,985
"涧",,2
"渐",,1
"践",,17
"鉴",,31
"键",,4
"江",7182,539
"姜",738,
"疆",,2
"蒋",868,
"交",,2
"姣",,3
"娇",,2
"骄",,5
"椒",,1
"焦",115,
"蛟",,5
"皎",,61
"矫",2,1
"叫",,2
"教",,30
"阶",,106
"皆",,1
"接",3,
"揭",2,
"节",,3
"劼",,1
"杰",1,769
"洁",2,282
"结",,2
"婕",1,2
"捷",,36
"颉",1,
"姐",,9
"解",94,32
"介",,215
"界",,2
"诫",,2
"今",,55
"斤",,4
"金",1231,1329
"津",,74
"堇",,1
"谨",,15
"锦",1,1605
"瑾",,39
"尽",,5
"劲",,99
"近",,9
"进",,225
"荩",,1
"晋",9,154
"靳",53,1
"京",,220
"经",90,76
"荆",6,3
"惊",,1
"菁",,18
"晶",,112
"精",,26
"井",2,10
"景",31,644
"憬",,2
"警",,5
"净",,5
"竞",,25
"婧",,5
"竟",,4
"敬",11,300
"靖",,37
"静",1,131
"镜",,37
"炯",1,41
"九",,109
"久",,151
"玖",,24
"酒",,1
"就",,1
"居",9,58
"驹",,53
"掬",,4
"琚",1,1
"鞠",20,
"局",,1
"桔",,2
"菊",,213
"举",,84
"矩",,1
"莒",,3
"榘",,5
"句",,1
"巨",1,29
"炬",,8
"钜",,6
"聚",,27
"瞿",25,
"娟",,208
"涓",,3
"鹃",,8
"隽",,3
"珏",,7
"觉",,25
"厥",,5
"爵",,6
"军",3,1069
"君",,499
"均",,76
"钧",,201
"筠",,9
"俊",,905
"郡",,14
"峻",,38
"浚",,25
"骏",,41
"珺",,1
"竣",,1
"卡",,1
"开",1,247
"凯",,232
"垲",,2
"恺",,48
"铠",,2
"慨",,1
"楷",1,99
"锴",,6
"勘",,1
"堪",,1
"戡",,2
"侃",,4
"阚",11,
"康",99,500
"亢",11,
"伉",8,1
"抗",,11
"考",,1
"柯",84,9
"珂",,17
"科",,199
"轲",,1
"可",,163
"克",,770
"刻",,6
"客",,10
"恪",,40
"肯",,1
"空",,10
"孔",443,15
"扣",,7
"寇",24,1
"苦",,15
"库",,10
"蒯",1,
"郐",1,
"宽",,82
"匡",4,66
"邝",23,
"况",1,1
"旷",1,
"奎",14,186
"逵",,11
"揆",,16
"葵",,15
"魁",1,202
"蒉",1,
"坤",,274
"昆",1,222
"堃",,1
"琨",,43
"锟",,3
"鲲",,1
"扩",,11
"阔",,6
"廓",,4
"拉",,8
"喇",1,
"腊",,9
"来",11,2440
"莱",,2
"睐",,1
"赖",112,2
"兰",131,721
"岚",,1444
"阑",,2
"蓝",42,3
"澜",,60
"榄",,2
"烂",,1
"郎",35,9
"狼",,1
"朗",1,3
"浪",,38
"劳",16,3
"乐",86,205
"勒",,1
"雷",286,233
"垒",,2
"磊",,19
"蕾",,38
"冷",16,11
"梨",,3
"离",,2
"莉",,91
"骊",,8
"犁",,7
"漓",,2
"黎",163,64
"藜",,34
"蠡",,2
"礼",,279
"李",10456,7
"里",,45
"俚",,2
"理",,88
"鲤",,1
"醴",,1
"力",1,234
"历",,12
"厉",72,1
"立",1,1114
"丽",,942
"利",2,369
"励",1,154
"沥",,1
"例",,5
"俐",,14
"俪",,1
"荔",,11
"郦",,1
"栗",15,1
"砺",,3
"笠",,1
"连",21,421
"莲",,311
"联",,35
"廉",6,25
"濂",,9
"镰",,1
"琏",,20
"练",2,8
"娈",,1
"炼",,5
"恋",,8
"链",,2
"良",2,1061
"凉",,1
"梁",646,178
"樑",,2
"亮",,514
"量",,10
"辽",,2
"僚",,2
"廖",292,
"燎",,5
"了",,2
"列",1,13
"烈",1,106
"猎",,2
"邻",,40
"林",742,1987
"临",,41
"琳",,108
"霖",,208
"鳞",,1
"麟",,161
"檩",,1
"蔺",5,2
"伶",,5
"灵",,114
"岭",,62
"泠",1,
"苓",,15
"玲",1,367
"凌",37,160
"铃",,4
"陵",,60
"翎",,1
"菱",,2
"零",,1
"龄",,188
"领",,5
"令",17,179
"刘",6082,28
"流",,20
"留",,26
"骝",,15
"榴",,5
"镠",,5
"鎏",,7
"柳",146,22
"六",,13
"龙",162,822
"隆",5,69
"陇",,13
"娄",37,
"楼",30,9
"露",,39
"卢",519,9
"庐",,7
"芦",1,4
"炉",,1
"鲁",98,255
"陆",262,40
"录",,63
"辂",,1
"逯",3,
"鹿",66,24
"禄",,164
"路",115,89
"璐",,163
"鹭",,1
"麓",,1
"闾",,3
"吕",576,1
"履",,11
"律",1,1
"绿",,3
"栾",21,1
"鸾",,2
"銮",,5
"乱",,1
"略",,28
"仑",,3
"伦",1,143
"纶",,2
"轮",,3
"罗",1090,51
"萝",,1
"洛",,25
"络",,2
"骆",47,
"珞",,1
"雒",4,
"麻",17,1
"马",1638,10
"玛",,3
"买",1,23
"迈",,5
"麦",85,3
"瞒",,1
"满",25,61
"曼",,34
"漫",,2
"蔓",,3
"忙",,2
"毛",1650,33
"矛",,5
"茅",23,
"卯",,1
"昴",,1
"茂",,486
"冒",2,
"懋",,25
"么",7,
"枚",,4
"玫",,5
"眉",,5
"梅",174,766
"湄",,1
"楣",,14
"煤",,4
"美",,462
"镁",,2
"妹",,15
"媚",,2
"门",4,10
"氓",,1
"萌",,2
"盟",,4
"濛",,1
"猛",,13
"蒙",18,15
"孟",508,159
"梦",,300
"咪",,1
"弥",2,
"糜",1,
"米",29,22
"弭",6,2
"泌",,60
"秘",1,1
"密",,3
"眠",,25
"绵",,17
"棉",,4
"勉",,13
"苗",46,11
"描",,4
"淼",,12
"邈",,3
"妙",,10
"民",,8106
"岷",,1
"苠",,2
"珉",,13
"闵",117,
"泯",,1
"闽",,7
"敏",1,524
"名",,30
"明",16,3026
"鸣",,309
"茗",,1
"铭",,218
"溟",,7
"命",,1
"缪",24,11
"谟",,9
"模",,28
"摩",,3
"末",,1
"沫",,54
"莫",51,
"漠",,3
"墨",5,14
"默",,26
"牟",29,
"侔",,1
"谋",,53
"某",,1
"母",4,
"拇",,1
"木",1,176
"目",,18
"沐",,6
"牧",,32
"睦",,1
"慕",23,95
"暮",,4
"穆",39,21
"拿",,1
"内",,1
"那",3,
"纳",1,9
"娜",,236
"乃",,160
"奈",,2
"耐",,18
"鼐",,6
"囡",,34
"男",,38
"南",20,353
"难",,10
"楠",,51
"瑙",,1
"能",,95
"妮",,43
"倪",166,
"霓",,1
"年",7,503
"念",,112
"娘",,8
"茑",,1
"聂",138,1
"镍",,2
"宁",76,356
"柠",,2
"凝",,24
"牛",140,4
"纽",1,
"钮",74,
"农",,151
"侬",,2
"弄",,2
"驽",,1
"努",,4
"弩",,1
"女",,2
"暖",,3
"诺",,2
"欧",110,13
"鸥",,15
"偶",3,11
"耙",,1
"拍",,4
"俳",,1
"排",,6
"潘",715,2
"攀",,2
"盘",2,4
"磐",,4
"泮",,3
"畔",,1
"庞",154,
"逄",14,
"胖",,6
"抛",,3
"炮",,2
"陪",,1
"培",1,538
"裴",68,
"沛",,56
"佩",,202
"珮",,198
"霈",,10
"芃",,2
"朋",,22
"彭",1105,24
"蓬",,5
"鹏",2,380
"篷",,1
"丕",,35
"披",,3
"皮",32,
"漂",,55
"飘",,2
"频",,3
"品",,35
"娉",,14
"聘",,1
"平",8,5484
"评",,1
"坪",,79
"苹",,5
"屏",,36
"枰",,2
"萍",,359
"坡",,50
"颇",,1
"婆",,1
"仆",,3
"蒲",49,3
"璞",,82
"濮",11,
"朴",85,156
"圃",,12
"浦",11,23
"普",9,58
"溥",3,4
"谱",,1
"七",,17
"栖",,3
"戚",123,
"期",,18
"漆",2,
"亓",8,
"祁",20,4
"齐",267,39
"圻",,9
"岐",,58
"芪",,1
"其",1,1123
"奇",1,1064
"歧",,3
"祈",2,1
"颀",,1
"崎",,1
"淇",,3
"骐",,6
"骑",,1
"棋",,3
"琦",,123
"琪",,111
"祺",,101
"旗",,70
"綦",1,
"麒",,3
"企",,5
"屺",,4
"岂",,2
"启",,557
"起",,155
"绮",,54
"气",,2
"弃",,13
"器",,40
"洽",,2
"千",12,133
"仟",,1
"芊",,1
"迁",,1
"谦",,109
"骞",,3
"前",,85
"钱",1482,2
"乾",5,91
"潜",,20
"黔",,9
"浅",,4
"茜",,45
"倩",,24
"锵",,10
"强",15,890
"嫱",,2
"蔷",,6
"锹",,1
"乔",149,23
"侨",,1
"荞",,2
"桥",,67
"谯",2,
"樵",,14
"巧",,52
"俏",,3
"翘",,3
"亲",,5
"钦",1,98
"芩",,3
"芹",,70
"秦",335,15
"琴",,283
"琹",,11
"勤",,265
"青",,410
"氢",,1
"卿",1,274
"清",,2742
"情",,1
"晴",,26
"擎",,1
"庆",1,1487
"穷",,32
"琼",,189
"丘",22,
"邱",189,
"秋",,477
"求",7,18
"虬",,3
"俅",,1
"球",,95
"遒",,4
"裘",20,1
"区",37,27
"曲",157,3
"屈",29,
"渠",3,16
"蕖",,17
"取",,3
"去",,1
"全",31,735
"权",35,459
"泉",1,472
"荃",,15
"铨",,57
"券",,1
"缺",,1
"确",,1
"阙",4,
"群",,387
"然",,98
"冉",126,
"染",,15
"让",,20
"饶",76,2
"娆",,1
"人",,237
"仁",,967
"壬",,1
"忍",,8
"刃",,2
"认",,1
"仞",,1
"任",564,71
"纫",,1
"轫",,1
"韧",,2
"仍",,4
"礽",,11
"日",,260
"戎",4,29
"绒",,1
"荣",148,1522
"容",9,56
"嵘",,10
"溶",,2
"蓉",,139
"榕",,24
"镕",,1890
"融",,24
"柔",,6
"如",,406
"茹",6,40
"儒",,105
"濡",,1
"汝",2,237
"辱",,1
"入",,1
"阮",139,
"软",,2
"蕤",,1
"蕊",,10
"芮",10,
"锐",,24
"瑞",2,1697
"睿",,18
"闰",,3
"润",,137
"若",,198
"洒",,1
"萨",3,1
"塞",,4
"赛",,13
"三",,152
"叁",,1
"散",,19
"桑",24,9
"嫂",,1
"色",,1
"森",,429
"僧",,4
"沙",43,15
"莎",,4
"山",1,895
"杉",,2
"姗",,4
"珊",,84
"陕",,1
"善",,265
"鄯",2,
"商",25,7
"裳",,1
"赏",,2
"上",,30
"尚",166,337
"芍",,2
"苕",,4
"韶",,41
"少",,1085
"劭",,1
"邵",247,
"绍",,501
"畲",,2
"佘",23,
"舍",,7
"设",,7
"社",,20
"摄",,4
"申",113,79
"伸",,3
"身",,15
"深",,124
"燊",,7
"神",,1
"沈",448,10
"甚",,1
"慎",12,105
"升",,190
"生",2,2381
"声",,144
"胜",,603
"笙",,17
"绳",,20
"省",,14
"圣",,126
"晟",,3
"盛",164,178
"剩",,6
"师",21,66
"诗",,80
"施",245,
"狮",,2
"十",,16
"石",441,508
"时",45,234
"识",,1
"实",,48
"拾",,1
"史",230,6
"矢",,1
"使",,2
"始",,1
"士",,407
"氏",,14
"世",,933
"仕",,38
"示",,4
"式",,22
"侍",2,1
"室",,2
"是",,26
"适",,5
"轼",,2
"释",7,1
"奭",,1
"收",,9
"手",,1
"守",,294
"首",,13
"寿",2,242
"受",,12
"绶",,10
"瘦",,16
"书",,406
"抒",,11
"叔",,178
"枢",,24
"姝",,2
"殊",,2
"梳",,1
"淑",,459
"菽",,1
"舒",102,27
"署",,3
"蜀",,4
"曙",,61
"术",,88
"戍",,1
"束",16,2
"沭",,1
"述",,79
"树",1,608
"恕",,37
"庶",,1
"数",,1
"漱",,15
"澍",,1
"帅",72,4
"拴",,25
"栓",,5
"双",,96
"霜",,22
"爽",,1
"谁",,1
"水",13,180
"顺",1,364
"舜",,28
"朔",,2
"硕",,35
"丝",,6
"司",87,3
"思",,578
"斯",4,67
"巳",,1
"四",,107
"祀",,5
"泗",,11
"驷",,24
"嗣",,28
"松",,828
"崧",,1
"淞",,2
"菘",,3
"嵩",,10
"宋",948,11
"诵",,5
"送",,2
"颂",,54
"苏",258,105
"甦",,1
"俗",,1
"夙",,1
"肃",,19
"素",,186
"速",,4
"宿",9,54
"粟",4,16
"塑",,1
"溯",,13
"眭",2,
"绥",,17
"隋",35,
"随",1,11
"岁",,4
"祟",1,1
"遂",,12
"燧",,13
"穗",,3
"孙",1618,228
"荪",,18
"所",,6
"索",5,1
"锁",,78
"塔",,2
"台",,26
"邰",7,
"苔",,1
"太",1,200
"泰",,187
"倓",,2
"谈",30,
"覃",35,1
"谭",361,1
"潭",,4
"檀",3,1
"坦",,5
"叹",,3
"汤",145,1
"镗",,1
"唐",1318,6
"堂",,256
"棠",,139
"塘",,3
"涛",,1609
"滔",,3
"韬",,35
"桃",1,50
"陶",267,25
"淘",,1
"套",,2
"特",,25
"腾",2,26
"滕",88,
"藤",,1
"梯",,15
"缇",,2
"体",,28
"倜",,8
"悌",,6
"惕",,4
"天",,701
"添",,26
"田",728,751
"恬",,10
"铁",3,654
"帖",3,
"汀",,9
"听",,4
"廷",,267
"亭",,107
"庭",,167
"婷",,24
"霆",,22
"挺",,6
"铤",,1
"艇",,1
"通",,160
"仝",4,
"同",6,253
"佟",39,
"彤",,46
"桐",1,73
"童",126,4
"统",,42
"桶",,3
"头",,40
"凸",,1
"秃",,9
"图",,57
"徒",,2
"涂",32,1
"途",,3
"屠",20,
"土",,17
"兔",,1
"团",,15
"抟",,2
"退",,6
"暾",,1
"屯",,1
"沱",,2
"驼",,1
"庹",1,
"拓",2,
"娃",,3
"佤",,4
"崴",,1
"外",,3
"完",,1
"顽",,9
"宛",3,3
"挽",,1
"晚",,27
"莞",,3
"婉",1,46
"琬",,2
"畹",,2
"万",317,744
"汪",499,4
"王",8360,10
"网",,2
"旺",,235
"望",,50
"危",3,131
"威",,59
"微",,5
"薇",,25
"巍",,27
"为",,237
"韦",155,3
"唯",,6
"帷",,1
"惟",,12
"维",1,780
"潍",,1
"伟",2,1525
"纬",,25
"苇",,5
"委",,3
"炜",,57
"玮",,20
"隗",11,
"卫",21,409
"未",,7
"位",,10
"味",,17
"畏",,13
"尉",713,1
"渭",,31
"蔚",,66
"慰",,4
"魏",404,
"温",780,20
"文",69,3425
"闻",55,64
"雯",,37
"吻",,15
"稳",,3
"问",,13
"汶",,2
"翁",39,8
"我",,29
"沃",5,1
"握",,1
"乌",1,
"邬",20,
"巫",17,
"无",,26
"毋",4,
"吴",2950,
"吾",,24
"芜",,15
"梧",,8
"五",,25
"午",,49
"伍",274,21
"武",221,697
"兀",,1
"务",,13
"物",,6
"悟",,13
"夕",,1
"西",1,351
"希",,258
"析",,1
"郗",8,
"奚",37,1
"晞",,3
"惜",,15
"淅",,1
"晰",,3
"溪",,24
"锡",,357
"熙",,135
"嬉",,1
"樨",,2
"熹",,30
"熺",,2
"羲",,19
"曦",,15
"习",26,18
"席",30,8
"袭",5,
"隰",1,
"洗",,75
"玺",,44
"铣",,3
"喜",1,360
"禧",,7
"细",,3
"郄",13,
"侠",,48
"峡",,1
"遐",,10
"蕸",,4
"霞",,604
"夏",249,40
"厦",,4
"仙",,48
"先",1,419
"鲜",2,113
"暹",,4
"弦",,9
"贤",,468
"咸",,14
"涎",,1
"娴",,22
"衔",,2
"冼",78,
"显",,112
"险",,1
"岘",,1
"现",,15
"限",,5
"宪",,258
"羡",,55
"献",,65
"乡",,7
"相",5,280
"香",,252
"湘",1,154
"缃",,3
"箱",,3
"襄",,4
"骧",,9
"祥",,1025
"翔",,88
"享",,8
"响",,3
"想",,3
"向",48,259
"项",105,1
"象",,11
"骁",,3
"宵",,2
"萧",62,
"潇",,3
"箫",,1
"霄",,11
"小",,4064
"晓",,1625
"筱",,54
"孝",,264
"肖",271,34
"哮",,1
"效",,57
"校",,3
"笑",,95
"啸",1,21
"歇",,3
"协",,42
"偕",,2
"谐",,1
"絜",,9
"勰",,1
"卸",,1
"谢",565,3
"燮",,44
"心",,199
"忻",1,3
"芯",,1
"辛",67,31
"昕",,73
"欣",,139
"莘",,6
"锌",,1
"新",24,1719
"歆",,2
"薪",,3
"馨",,33
"鑫",,98
"炘",,1
"信",5,164
"兴",,872
"星",1,367
"惺",,2
"刑",1,
"行",,819
"邢",109,2
"醒",,11
"杏",,22
"幸",,15
"性",,8
"兄",,1
"雄",,282
"熊",241,33
"休",,1
"修",4,217
"庥",,22
"秀",,718
"岫",,4
"绣",,1
"袖",,1
"琇",,6
"戌",,4
"盱",,3
"胥",36,2
"须",1,
"虚",,4
"需",,2
"徐",1709,22
"许",924,2
"旭",7,182
"序",1,14
"叙",,42
"绪",,97
"续",2,16
"煦",,23
"轩",,68
"宣",16,61
"萱",,23
"暄",,1
"煊",,4
"瑄",,1
"玄",,6
"旋",,6
"璇",,646
"选",,145
"烜",,2
"泫",,4
"炫",,2
"铉",,57
"薛",186,
"学",,1159
"雪",,358
"勋",,165
"埙",,6
"熏",,16
"薰",,42
"寻",,1
"恂",,1
"洵",,5
"荀",6,1
"珣",,1
"循",,1
"训",,61
"汛",,3
"迅",,15
"逊",,18
"牙",1,4
"芽",,3
"崖",,8
"涯",1,
"雅",,114
"亚",1,645
"讶",,2
"娅",,42
"烟",,1
"淹",,18
"焉",7,
"鄢",9,
"嫣",,1
"延",2,320
"闫",2,
"严",126,13
"妍",,3
"言",2,82
"岩",4,139
"沿",,1
"炎",,224
"研",,11
"阎",236,
"颜",116,7
"俨",,3
"衍",,44
"琰",,7
"演",,6
"彦",2,482
"砚",,78
"宴",,1
"晏",16,6
"艳",,231
"焰",,4
"焱",,7
"雁",,54
"燕",12,328
"央",,10
"扬",3,177
"羊",6,5
"阳",30,251
"杨",2918,8
"炀",,1
"洋",,140
"仰",,8
"养",,58
"样",,2
"幺",3,
"尧",1,154
"姚",317,
"摇",,11
"瑶",,33
"药",,1
"要",2,19
"曜",,3
"耀",,552
"也",,12
"冶",,97
"野",,41
"业",1,149
"叶",681,14
"邺",,1
"晔",,7
"烨",,12
"一",,387
"伊",5,18
"衣",3,1
"医",,2
"依",,14
"祎",,1
"欹",,1
"漪",,32
"仪",4,73
"夷",,5
"沂",,2
"诒",,9
"宜",,189
"怡",1,75
"饴",,1
"贻",,57
"移",,1
"遗",,1
"颐",,24
"簃",,1
"彝",,3
"乙",,33
"已",,1
"以",,110
"倚",,2
"义",17,702
"亿",,6
